lat,long,cpu_min,cpu_max,cpu_avg,disk_min,disk_max,disk_avg,temp_min,temp_max,temp_avg
30.74173,116.84259,0.1718,0.3118,0.8033,0.8961,0.6656,0.5736,94.72,59.72,91.08
-8.5316,121.26,0.1978,0.0907,0.1003,0.9654,0.1558,0.3447,69.17,32.04,53.25
54.63333,23.95,0.7283,0.3461,0.4828,0.3198,0.5063,0.8985,83.01,63.64,83.92
-8.81667,-77.86667,0.6982,0.9387,0.8047,0.582,0.0587,0.0988,33.33,50.61,46.9
-22.10889,-56.52111,0.6224,0.3643,0.3239,0.4873,0.4172,0.0774,53.6,40.13,77.15
6.66737,9.17157,0.9407,0.4924,0.722,0.0266,0.7329,0.2458,57.82,52.51,1.34
33.10342,112.94822,0.0295,0.5639,0.3958,0.5082,0.1512,0.2858,53.61,94.27,96.72
39.78916,98.79039,0.269,0.0114,0.7131,0.9309,0.778,0.6556,5.96,44.01,33.16
53.53167,-6.96111,0.032,0.3402,0.7512,0.1248,0.3119,0.5712,96.9,94.69,63.38
56.0055,71.51131,0.6421,0.7213,0.4143,0.2726,0.7498,0.301,89.44,18.25,32.64
32.20467,120.54446,0.2965,0.7164,0.6909,0.4924,0.3439,0.9198,56.96,75.31,83.3
-1.55611,-79.75191,0.2297,0.9564,0.6492,0.1337,0.7295,0.8994,21.3,38.11,54.45
35.89917,14.49444,0.2609,0.0274,0.4441,0.0814,0.925,0.2939,13.64,48.51,78.26
56.2751,54.9338,0.9766,0.9566,0.6492,0.7514,0.5405,0.4876,0.68,33.12,41.91
0.32243,109.33794,0.218,0.1707,0.3741,0.2177,0.2297,0.9648,92.1,47.57,48.67
46.68222,129.94552,0.8571,0.5959,0.3032,0.3141,0.907,0.2972,52.77,34.06,90.75
14.9611,121.0609,0.0168,0.5127,0.545,0.492,0.9088,0.9062,18.37,16.3,88.85
15.04998,120.58611,0.653,0.1004,0.0079,0.9878,0.7006,0.3115,89.04,64.37,26.74
40.9,-8.2667,0.4443,0.9136,0.8574,0.5795,0.416,0.0493,51.5,71.94,66.99
15.88641,120.3442,0.2161,0.8267,0.0704,0.9224,0.6549,0.7918,57.83,42.93,60
42.44589,27.63834,0.8846,0.2928,0.7394,0.5288,0.1179,0.4726,67.91,77.85,99.35
16.4504,-98.6164,0.1503,0.0234,0.3485,0.2767,0.2505,0.5278,27.05,59.07,16.55
11.4943,122.6314,0.0177,0.659,0.3208,0.5205,0.1213,0.0158,32.67,34.49,24.16
35.50056,11.06056,0.7066,0.1044,0.488,0.0304,0.5145,0.0096,7.23,52.03,90.4
-25.3676,-57.59274,0.8857,0.3476,0.8961,0.2598,0.4939,0.0958,57.58,52.64,79.41
36.55,140.41667,0.5897,0.6586,0.0276,0.336,0.5256,0.035,83.68,63.56,51.74
22.45566,89.85584,0.81,0.114,0.1708,0.9286,0.8043,0.2765,19.92,52.52,43.27
-22.10236,-65.59299,0.9893,0.8428,0.1022,0.0496,0.208,0.3151,1.3,27.46,48.86
20.40706,104.22402,0.0958,0.6201,0.3853,0.2926,0.9028,0.7123,41,34.81,69.61
37.79446,20.85188,0.3465,0.3269,0.8399,0.0418,0.8191,0.4731,60.25,57.55,88.82
50.02288,29.02023,0.5219,0.814,0.8665,0.3015,0.3411,0.7501,41.84,95.08,1.12
-8.269,123.4655,0.658,0.3562,0.5518,0.2146,0.9735,0.4799,59.48,6.95,82.27
41.4833,-8.33,0.052,0.0684,0.537,0.2711,0.7036,0.0759,47.79,53.61,83.33
49.23458,33.13613,0.8751,0.1958,0.4808,0.2585,0.9485,0.3356,39.36,37.51,84.28
55.6794,12.5346,0.541,0.0667,0.3355,0.2492,0.986,0.965,20.88,8.41,49.23
43.98333,87.53333,0.5423,0.6033,0.0903,0.5544,0.4643,0.6436,15.82,25.48,54.65
54.46427,19.93801,0.2969,0.8883,0.9225,0.8321,0.3198,0.6671,37.5,88.94,58.63
47.70911,40.21443,0.139,0.8299,0.8107,0.9704,0.2639,0.8386,16.87,56.58,22.38
34.52384,99.96804,0.0482,0.4693,0.0442,0.5269,0.028,0.4676,20.24,43,66.31
13.3,-14.38333,0.7221,0.4462,0.2432,0.9101,0.5051,0.9108,8.28,10.55,20.7
25.6348,118.97645,0.5629,0.985,0.2996,0.4371,0.644,0.5983,31.31,78.71,20.04
-27.48171,-55.82921,0.3792,0.1222,0.8256,0.0094,0.1908,0.3117,32.18,14.06,19.42
45.56418,126.92783,0.7521,0.7719,0.8446,0.2261,0.9543,0.3027,10.71,35.29,32.32
37.97332,23.7909,0.3265,0.1817,0.4135,0.3162,0.5351,0.0842,24.62,46.2,45.94
-6.3638,106.0792,0.4427,0.8781,0.9898,0.5399,0.5382,0.6944,16.68,30.51,11.78
38.22486,114.60684,0.4965,0.661,0.0774,0.5875,0.2981,0.6817,95.81,47.6,90.52
-6.93333,109.16667,0.9303,0.556,0.7264,0.1144,0.8957,0.0639,72.74,21.78,81.06
59.6162,16.5528,0.5566,0.1927,0.0874,0.0104,0.367,0.0611,63.76,62.65,86.59
44.04667,15.31556,0.4508,0.8927,0.3822,0.5721,0.8297,0.1156,17.91,30.07,55.21
51.16406,18.29069,0.0889,0.4336,0.1203,0.3341,0.2307,0.8389,12.54,8.53,96.93
37.65182,120.33063,0.8432,0.0802,0.4225,0.0402,0.4524,0.622,65.74,58.45,49.97
-2.35187,29.75089,0.5494,0.5403,0.864,0.5593,0.0297,0.1673,50.43,37.46,38.37
32.2435,120.75502,0.9475,0.2529,0.4084,0.9126,0.1916,0.5408,59.53,24.65,31.44
49.6322,16.71125,0.0291,0.7975,0.9844,0.6273,0.7405,0.8067,54.46,54.66,51.97
45.95139,40.70056,0.0199,0.9936,0.5273,0.6413,0.2105,0.6921,33.28,20.21,29.93
